,BEGIN_LAT,BEGIN_LON,MONTH_NAME,TOR_F_SCALE
0,36.48,-100.0,February,F1
1,38.47,-86.18,January,F1
2,31.02,-98.18,February,F0
3,31.1,-97.7,February,F0
4,31.3,-83.63,February,F2
5,36.47,-91.65,January,F1
6,42.92,-112.52,February,F0
7,37.72,-87.18,January,F3
8,31.1,-91.27,January,F0
9,34.37,-89.25,January,F3
10,36.22,-91.83,January,F1
11,36.25,-91.7,January,F1
12,34.17,-89.55,January,F2
13,34.18,-89.52,January,F2
14,38.25,-98.97,March,F0
15,33.63,-90.37,January,F1
16,34.08,-117.88,February,F0
17,36.6,-99.9,February,F0
18,30.5,-85.53,February,F1
19,30.47,-85.62,February,F1
20,31.27,-83.47,February,F0
21,34.18,-99.37,February,F0
22,43.28,-112.18,February,F1
23,,,February,F0
24,36.33,-100.13,February,F1
25,26.7,-80.65,March,F0
26,31.07,-84.15,February,F3
27,35.77,-100.63,February,F0
28,31.32,-83.63,February,F2
29,31.08,-84.02,February,F3
30,37.27,-88.08,January,F3
31,33.48,-92.78,February,F1
32,35.33,-92.42,February,F1
33,37.37,-87.85,January,F3
34,31.17,-84.27,February,F3
35,31.02,-84.2,February,F3
36,31.18,-83.85,February,F1
37,31.05,-84.38,February,F1
38,33.25,-94.45,March,F0
39,34.58,-92.65,February,F1
40,34.6,-92.22,February,F0
41,34.63,-92.13,February,F0
42,32.18,-89.15,January,F2
43,32.17,-82.32,March,F0
44,34.85,-94.63,March,F2
45,34.2,-95.42,March,F0
46,35.3,-94.13,March,F0
47,35.3,-94.07,March,F0
48,36.85,-97.95,March,F0
49,36.82,-98.18,March,F0
50,36.15,-86.87,February,F1
51,35.17,-77.22,March,F0
52,30.73,-85.02,March,F1
53,37.9,-93.2,February,F1
54,33.63,-94.78,March,F1
55,33.6,-94.73,March,F1
56,33.47,-94.63,March,F1
57,46.32,-118.0,January,F1
58,29.9,-82.1,March,F0
59,29.47,-101.02,March,F1
60,29.48,-101.22,March,F0
61,32.18,-89.17,January,F1
62,30.65,-98.78,March,F1
63,30.7,-98.67,March,F0
64,35.37,-95.27,March,F0
65,34.72,-95.85,March,F0
66,43.35,-112.12,February,F1
67,43.42,-112.07,February,F1
68,42.78,-112.83,February,F0
69,35.3,-96.5,March,F0
70,34.53,-95.68,March,F1
71,34.07,-80.55,March,F0
72,30.65,-98.48,March,F0
73,29.82,-85.3,March,F0
74,37.72,-99.3,March,F0
75,37.73,-99.25,March,F1
76,37.97,-99.15,March,F1
77,32.43,-100.62,March,F0
78,36.22,-92.18,January,F1
79,36.23,-92.17,January,F1
80,26.43,-81.63,January,F1
81,31.52,-101.83,February,F0
82,35.08,-90.77,February,F0
83,35.0,-89.52,February,F0
84,33.93,-89.88,February,F0
85,34.97,-88.38,February,F0
86,37.73,-93.33,February,F0
87,32.88,-87.1,March,F0
88,39.55,-119.77,February,F0
89,33.88,-89.85,February,F0
90,33.45,-88.62,February,F0
91,34.9,-77.53,March,F0
92,33.13,-84.3,April,F1
93,31.05,-93.37,March,F0
94,32.07,-86.3,February,F1
95,26.73,-82.27,March,F0
96,32.55,-96.77,March,F0
97,30.27,-83.0,March,F0
98,30.58,-81.47,March,F0
99,30.52,-82.03,March,F0
100,30.52,-84.52,March,F0
101,32.75,-96.98,March,F2
102,30.42,-96.68,March,F3
103,30.77,-95.95,March,F0
104,30.58,-97.85,March,F0
105,32.23,-85.88,February,F0
106,32.18,-86.02,February,F0
107,32.18,-86.0,February,F0
108,36.48,-95.68,March,F0
109,43.12,-112.55,February,F1
110,35.75,-86.65,March,F0
111,38.18,-98.87,March,F0
112,38.17,-98.92,March,F0
113,37.25,-95.55,April,F3
114,37.4,-95.18,April,F0
115,34.47,-77.88,March,F0
116,33.3,-87.48,March,F0
117,29.62,-97.97,March,F0
118,29.48,-98.65,March,F0
119,29.5,-99.8,February,F0
120,42.95,-87.9,March,F1
121,39.02,-92.03,February,F1
122,38.75,-92.28,February,F0
123,38.87,-92.17,February,F0
124,25.47,-80.63,May,F0
125,34.02,-80.93,March,F0
126,33.9,-80.83,March,F0
127,36.42,-84.43,April,F1
128,33.17,-84.2,April,F0
129,32.58,-100.58,March,F0
130,32.17,-97.15,March,F0
131,32.78,-100.53,March,F0
132,33.32,-87.33,April,F2
133,39.0,-92.03,February,F0
134,39.35,-91.45,February,F0
135,31.77,-101.62,March,F0
136,34.87,-91.67,February,F2
137,31.53,-81.8,March,F0
138,32.0,-101.2,March,F0
139,33.15,-84.25,April,F1
140,32.0,-101.2,March,F0
141,36.15,-95.95,February,F1
142,34.88,-91.98,February,F2
143,31.6,-82.28,March,F0
144,32.77,-87.33,March,F0
145,30.6,-97.85,March,F2
146,30.57,-97.75,March,F0
147,30.2,-97.67,March,F0
148,30.43,-97.62,March,F0
149,36.7,-120.12,February,F0
150,36.6,-119.87,February,F0
151,36.87,-120.2,February,F0
152,35.15,-99.1,March,F1
153,38.05,-98.83,March,F0
154,36.48,-95.88,March,F0
155,36.65,-119.77,February,F0
156,37.22,-95.55,April,F1
157,37.48,-95.33,April,F2
158,39.67,-95.92,April,F0
159,31.27,-88.7,March,F0
160,32.23,-86.23,March,F1
161,32.25,-86.12,March,F0
162,46.45,-120.25,May,F0
163,32.75,-97.35,March,F3
164,32.73,-97.12,March,F3
165,32.18,-96.27,March,F1
166,35.05,-81.9,March,F0
167,32.77,-87.08,March,F0
168,32.18,-96.38,March,F0
169,38.0,-99.15,March,F0
170,32.63,-102.07,March,F1
171,35.95,-95.8,March,F0
172,35.35,-95.42,March,F0
173,39.13,-90.05,April,F1
174,38.87,-91.7,April,F1
175,31.98,-101.5,March,F0
176,31.23,-101.68,March,F1
177,41.52,-109.57,April,F1
178,39.18,-92.17,March,F1
179,39.1,-108.45,April,F0
180,39.25,-108.93,April,F0
181,36.32,-96.0,March,F0
182,36.32,-96.0,March,F0
183,31.57,-101.58,March,F2
184,31.63,-101.45,March,F1
185,34.12,-99.12,April,F1
186,33.32,-86.8,March,F1
187,31.7,-92.1,April,F2
188,32.12,-101.13,March,F0
189,31.95,-93.27,April,F3
190,37.03,-100.93,March,F1
191,33.97,-85.38,April,F2
192,26.88,-80.6,April,F0
193,33.17,-94.93,April,F2
194,33.23,-94.8,April,F2
195,33.07,-94.75,April,F2
196,26.8,-80.13,May,F0
197,29.57,-90.53,March,F1
198,33.37,-87.23,April,F2
199,32.4,-101.02,March,F0
